target_id,concept,estimand_role,evidence_status,geography,population,reference_period,subgroup,value,unit,lower_ci,upper_ci,source_id,source_file,source_locator,transformation,runtime_mapping,limitations
"frs_income_1600_1799","gross_weekly_household_income_share","CALIBRATION","QUANTIFIED","United Kingdom","private households","2023-04/2024-03","GBP 1600 to under 1800","4","published_percent","","","dwp_frs_2023_24","calibration_evidence_by_point/02_reference_dataset/dwp_frs_2023-24_income_state_support.xlsx","2_6!K10","retain published rounded margin","not_connected:household_to_personal_income_bridge","Household gross income is not personal disposable gaming budget."
"frs_income_1800_1999","gross_weekly_household_income_share","CALIBRATION","QUANTIFIED","United Kingdom","private households","2023-04/2024-03","GBP 1800 to under 2000","3","published_percent","","","dwp_frs_2023_24","calibration_evidence_by_point/02_reference_dataset/dwp_frs_2023-24_income_state_support.xlsx","2_6!L10","retain published rounded margin","not_connected:household_to_personal_income_bridge","Household gross income is not personal disposable gaming budget."
"frs_income_2000_plus","gross_weekly_household_income_share","CALIBRATION","QUANTIFIED","United Kingdom","private households","2023-04/2024-03","GBP 2000 or more","11","published_percent","","","dwp_frs_2023_24","calibration_evidence_by_point/02_reference_dataset/dwp_frs_2023-24_income_state_support.xlsx","2_6!M10","retain published rounded margin","not_connected:household_to_personal_income_bridge","Household gross income is not personal disposable gaming budget."
"frs_income_published_sum","gross_weekly_household_income_share_sum","DIAGNOSTIC","QUANTIFIED","United Kingdom","private households","2023-04/2024-03","all published bands","101","published_percent","","","dwp_frs_2023_24","calibration_evidence_by_point/02_reference_dataset/dwp_frs_2023-24_income_state_support.xlsx","2_6!C10:M10","sum published integer percentages without normalization","audit_only","The 101 percent total is a published rounding artefact and is deliberately retained."
"frs_household_sample_size","survey_sample_size","DIAGNOSTIC","QUANTIFIED","United Kingdom","private households","2023-04/2024-03","usable households","16754","households","","","dwp_frs_2023_24","calibration_evidence_by_point/02_reference_dataset/dwp_frs_2023-24_income_state_support.xlsx","2_6!N10","published sample size","audit_only","The survey excludes people outside private households."
"lcf_recreation_decile_1","recreation_culture_expenditure","DIAGNOSTIC","PROXY","United Kingdom","private households","2023-04/2024-03","equivalised income decile 1","31.1","gbp_per_week","","","ons_family_spending_fye_2024","calibration_evidence_by_point/02_reference_dataset/ons_family_spending_fye_2024_corrected.xlsx","3.1!row Recreation & culture; decile 1","published household mean","not_connected:proxy_only","The category is much broader than games and cannot identify microtransaction affordability."
"lcf_recreation_decile_2","recreation_culture_expenditure","DIAGNOSTIC","PROXY","United Kingdom","private households","2023-04/2024-03","equivalised income decile 2","31.0","gbp_per_week","","","ons_family_spending_fye_2024","calibration_evidence_by_point/02_reference_dataset/ons_family_spending_fye_2024_corrected.xlsx","3.1!row Recreation & culture; decile 2","published household mean","not_connected:proxy_only","The category is much broader than games and cannot identify microtransaction affordability."
"lcf_recreation_decile_3","recreation_culture_expenditure","DIAGNOSTIC","PROXY","United Kingdom","private households","2023-04/2024-03","equivalised income decile 3","38.7","gbp_per_week","","","ons_family_spending_fye_2024","calibration_evidence_by_point/02_reference_dataset/ons_family_spending_fye_2024_corrected.xlsx","3.1!row Recreation & culture; decile 3","published household mean","not_connected:proxy_only","The category is much broader than games and cannot identify microtransaction affordability."
"lcf_recreation_decile_4","recreation_culture_expenditure","DIAGNOSTIC","PROXY","United Kingdom","private households","2023-04/2024-03","equivalised income decile 4","53.3","gbp_per_week","","","ons_family_spending_fye_2024","calibration_evidence_by_point/02_reference_dataset/ons_family_spending_fye_2024_corrected.xlsx","3.1!row Recreation & culture; decile 4","published household mean","not_connected:proxy_only","The category is much broader than games and cannot identify microtransaction affordability."
"lcf_recreation_decile_5","recreation_culture_expenditure","DIAGNOSTIC","PROXY","United Kingdom","private households","2023-04/2024-03","equivalised income decile 5","62.6","gbp_per_week","","","ons_family_spending_fye_2024","calibration_evidence_by_point/02_reference_dataset/ons_family_spending_fye_2024_corrected.xlsx","3.1!row Recreation & culture; decile 5","published household mean","not_connected:proxy_only","The category is much broader than games and cannot identify microtransaction affordability."
"lcf_recreation_decile_6","recreation_culture_expenditure","DIAGNOSTIC","PROXY","United Kingdom","private households","2023-04/2024-03","equivalised income decile 6","69.2","gbp_per_week","","","ons_family_spending_fye_2024","calibration_evidence_by_point/02_reference_dataset/ons_family_spending_fye_2024_corrected.xlsx","3.1!row Recreation & culture; decile 6","published household mean","not_connected:proxy_only","The category is much broader than games and cannot identify microtransaction affordability."
"lcf_recreation_decile_7","recreation_culture_expenditure","DIAGNOSTIC","PROXY","United Kingdom","private households","2023-04/2024-03","equivalised income decile 7","73.3","gbp_per_week","","","ons_family_spending_fye_2024","calibration_evidence_by_point/02_reference_dataset/ons_family_spending_fye_2024_corrected.xlsx","3.1!row Recreation & culture; decile 7","published household mean","not_connected:proxy_only","The category is much broader than games and cannot identify microtransaction affordability."
"lcf_recreation_decile_8","recreation_culture_expenditure","DIAGNOSTIC","PROXY","United Kingdom","private households","2023-04/2024-03","equivalised income decile 8","92.3","gbp_per_week","","","ons_family_spending_fye_2024","calibration_evidence_by_point/02_reference_dataset/ons_family_spending_fye_2024_corrected.xlsx","3.1!row Recreation & culture; decile 8","published household mean","not_connected:proxy_only","The category is much broader than games and cannot identify microtransaction affordability."
"lcf_recreation_decile_9","recreation_culture_expenditure","DIAGNOSTIC","PROXY","United Kingdom","private households","2023-04/2024-03","equivalised income decile 9","99.1","gbp_per_week","","","ons_family_spending_fye_2024","calibration_evidence_by_point/02_reference_dataset/ons_family_spending_fye_2024_corrected.xlsx","3.1!row Recreation & culture; decile 9","published household mean","not_connected:proxy_only","The category is much broader than games and cannot identify microtransaction affordability."
"lcf_recreation_decile_10","recreation_culture_expenditure","DIAGNOSTIC","PROXY","United Kingdom","private households","2023-04/2024-03","equivalised income decile 10","177.8","gbp_per_week","","","ons_family_spending_fye_2024","calibration_evidence_by_point/02_reference_dataset/ons_family_spending_fye_2024_corrected.xlsx","3.1!row Recreation & culture; decile 10","published household mean","not_connected:proxy_only","The category is much broader than games and cannot identify microtransaction affordability."
"lcf_recreation_all_households","recreation_culture_expenditure","DIAGNOSTIC","PROXY","United Kingdom","private households","2023-04/2024-03","all households","72.8","gbp_per_week","","","ons_family_spending_fye_2024","calibration_evidence_by_point/02_reference_dataset/ons_family_spending_fye_2024_corrected.xlsx","3.1!row Recreation & culture; all households","published household mean","not_connected:proxy_only","The category is much broader than games and cannot identify microtransaction affordability."
"lcf_software_games_all_households","computer_software_games_expenditure","DIAGNOSTIC","PROXY","United Kingdom","private households","2023-04/2024-03","all households","0.70","gbp_per_week","","","ons_family_spending_fye_2024","calibration_evidence_by_point/02_reference_dataset/ons_family_spending_fye_2024_corrected.xlsx","3.1!row Computer software and games; all households","published household mean","not_connected:proxy_only","This does not isolate microtransactions; most decile estimates are suppressed or marked low reliability."
"ashe_employee_jobs","employee_job_count","DIAGNOSTIC","PROXY","United Kingdom","employee jobs","2024-04","all employee jobs","28210","thousand_jobs","","","ons_ashe_2024_revised","calibration_evidence_by_point/03_parameter_calibration/ons_ashe_region_age_2024_revised.zip","Work Region Age Table WGOR Age.5a; All!C6","published estimate","not_connected:opportunity_cost_scenario_only","Employee jobs are not persons."
"ashe_hourly_pay_p10","gross_hourly_pay","DIAGNOSTIC","PROXY","United Kingdom","employee jobs","2024-04","10th percentile","11.64","gbp_per_hour","","","ons_ashe_2024_revised","calibration_evidence_by_point/03_parameter_calibration/ons_ashe_region_age_2024_revised.zip","Work Region Age Table WGOR Age.5a; All!H6","published estimate","not_connected:opportunity_cost_scenario_only","A wage is not the welfare value of leisure or sleep."
"ashe_hourly_pay_median","gross_hourly_pay","DIAGNOSTIC","PROXY","United Kingdom","employee jobs","2024-04","median","17.09","gbp_per_hour","","","ons_ashe_2024_revised","calibration_evidence_by_point/03_parameter_calibration/ons_ashe_region_age_2024_revised.zip","Work Region Age Table WGOR Age.5a; All!D6","published estimate","not_connected:opportunity_cost_scenario_only","A wage is not the welfare value of leisure or sleep."
"ashe_hourly_pay_mean","gross_hourly_pay","DIAGNOSTIC","PROXY","United Kingdom","employee jobs","2024-04","mean","21.65","gbp_per_hour","","","ons_ashe_2024_revised","calibration_evidence_by_point/03_parameter_calibration/ons_ashe_region_age_2024_revised.zip","Work Region Age Table WGOR Age.5a; All!F6","published estimate","not_connected:opportunity_cost_scenario_only","A wage is not the welfare value of leisure or sleep."
"ashe_hourly_pay_p90","gross_hourly_pay","DIAGNOSTIC","PROXY","United Kingdom","employee jobs","2024-04","90th percentile","34.75","gbp_per_hour","","","ons_ashe_2024_revised","calibration_evidence_by_point/03_parameter_calibration/ons_ashe_region_age_2024_revised.zip","Work Region Age Table WGOR Age.5a; All!Q6","published estimate","not_connected:opportunity_cost_scenario_only","A wage is not the welfare value of leisure or sleep."
"open_play_uk_18_40_participants","conditional_sample_size","DIAGNOSTIC","QUANTIFIED","United Kingdom","qualified Open Play participants aged 18-40","Open Play v1.2.5 collection window","all selected participants","932","persons","","","open_play_v1_2_5","open-play-v1.2.5.zip","data/clean/survey_intake.csv.gz","filter qualified=TRUE country=UK and age 18-40","excluded:nonrepresentative_diagnostic","The convenience sample is young and male-heavy and is not a UK prevalence sample."
"open_play_uk_18_40_man_share","conditional_sample_composition","DIAGNOSTIC","QUANTIFIED","United Kingdom","qualified Open Play participants aged 18-40","Open Play v1.2.5 collection window","gender label Man","70.1716738197","percent","","","open_play_v1_2_5","open-play-v1.2.5.zip","data/clean/survey_intake.csv.gz","654 divided by 932 selected participants times 100","excluded:nonrepresentative_diagnostic","Gender categories are self-described and must not be collapsed into the ONS binary sex margin."
"open_play_weekly_play_mean","self_reported_weekly_play","DIAGNOSTIC","QUANTIFIED","United Kingdom","qualified Open Play participants aged 18-40 with valid intake response","Open Play v1.2.5 collection window","mean n=849","1048.9328621908","minutes_per_week","","","open_play_v1_2_5","open-play-v1.2.5.zip","data/clean/survey_intake.csv.gz:self_reported_weekly_play","filter at source-defined 50-hour upper limit then arithmetic mean","excluded:nonrepresentative_diagnostic","The mean is about 2.52 times the Ofcom gamer-only mean and cannot calibrate population play level."
"open_play_weekly_play_median","self_reported_weekly_play","DIAGNOSTIC","QUANTIFIED","United Kingdom","qualified Open Play participants aged 18-40 with valid intake response","Open Play v1.2.5 collection window","median n=849","900","minutes_per_week","","","open_play_v1_2_5","open-play-v1.2.5.zip","data/clean/survey_intake.csv.gz:self_reported_weekly_play","filter at source-defined 50-hour upper limit then median","excluded:nonrepresentative_diagnostic","The convenience sample is not population representative."
"open_play_steam_record_median","platform_record_duration","DIAGNOSTIC","QUANTIFIED","United Kingdom","qualified Open Play participants aged 18-40 with Steam records","Open Play v1.2.5 collection window","median across 296707 records from 831 participants","39.0","minutes","","","open_play_v1_2_5","open-play-v1.2.5.zip","data/clean/steam.csv.gz:minutes","median of non-missing selected records","not_connected:conditional_shape_only","Steam records are approximate sessions and repeated observations are not independent."
"open_play_steam_record_p90","platform_record_duration","DIAGNOSTIC","QUANTIFIED","United Kingdom","qualified Open Play participants aged 18-40 with Steam records","Open Play v1.2.5 collection window","90th percentile across 296707 records from 831 participants","62.0","minutes","","","open_play_v1_2_5","open-play-v1.2.5.zip","data/clean/steam.csv.gz:minutes","linear empirical 90th percentile","not_connected:conditional_shape_only","Steam records are approximate sessions and repeated observations are not independent."
"open_play_nintendo_record_median","platform_record_duration","DIAGNOSTIC","QUANTIFIED","United Kingdom","qualified Open Play participants aged 18-40 with Nintendo records","Open Play v1.2.5 collection window","median across 82186 records from 261 participants","27.375","minutes","","","open_play_v1_2_5","open-play-v1.2.5.zip","data/clean/nintendo.csv.gz:duration","median of non-missing selected records","not_connected:conditional_shape_only","Repeated observations are not independent and the sample is not representative."
"open_play_nintendo_record_p90","platform_record_duration","DIAGNOSTIC","QUANTIFIED","United Kingdom","qualified Open Play participants aged 18-40 with Nintendo records","Open Play v1.2.5 collection window","90th percentile across 82186 records from 261 participants","100.325","minutes","","","open_play_v1_2_5","open-play-v1.2.5.zip","data/clean/nintendo.csv.gz:duration","linear empirical 90th percentile","not_connected:conditional_shape_only","Repeated observations are not independent and the sample is not representative."
"open_play_xbox_participants","conditional_platform_coverage","DIAGNOSTIC","QUANTIFIED","United Kingdom","qualified Open Play participants aged 18-40","Open Play v1.2.5 collection window","Xbox telemetry","0","persons","","","open_play_v1_2_5","open-play-v1.2.5.zip","data/clean/xbox.csv.gz","count distinct selected participant identifiers","audit_only","No selected UK participant has Xbox telemetry, so no UK Xbox shape target is available."
"open_play_gdt_first_complete_mean","gaming_disorder_test_sum","DIAGNOSTIC","QUANTIFIED","United Kingdom","qualified Open Play participants aged 18-40 with complete GDT","Open Play v1.2.5 collection window","first complete response n=694","8.7161383285","score_4_to_20","","","open_play_v1_2_5","open-play-v1.2.5.zip","data/clean/survey_biweekly.csv.gz:gdt_1:gdt_4","map Never=1 through Very often=5; sum four items; retain first complete response","excluded:conditional_risk_diagnostic","This is a screening severity measure in a nonrepresentative sample, not UK adult prevalence or diagnosis."
"open_play_psqi_first_complete_sleep_mean","self_reported_sleep_duration","DIAGNOSTIC","QUANTIFIED","United Kingdom","qualified Open Play participants aged 18-40 with complete PSQI duration","Open Play v1.2.5 collection window","first complete response n=518","429.8301158301","minutes_per_day","","","open_play_v1_2_5","open-play-v1.2.5.zip","data/clean/survey_biweekly.csv.gz:psqi_sleepdur_hours/minutes","combine hours and minutes; retain first complete response","excluded:conditional_sleep_diagnostic","Self-reported PSQI duration is not directly comparable with ONS sleep-and-rest diary time."
"open_play_uk_timeuse_rows_excluded","source_provenance_anomaly","DIAGNOSTIC","QUANTIFIED","United Kingdom","qualified Open Play participants aged 18-40","Open Play v1.2.5 collection window","rows linked to three UK participant identifiers","43","rows","","","open_play_v1_2_5","open-play-v1.2.5.zip","data/clean/timeuse.csv.gz","count rows after selected-identifier join","excluded:pending_provenance_resolution","The manuscript describes time-use diaries as US-only; these rows are excluded until provenance is resolved."
"ofcom_gamer_weekly_play_mean","gamer_reported_weekly_play","VALIDATION","QUANTIFIED","United Kingdom","gamers aged 16-64","2024-Q2","all gamers","417","minutes_per_week","","","ofcom_online_nation_2024","online-nation-2024-report.pdf","page 67; Ampere Games Consumer Q2 2024","convert 6 hours 57 minutes to minutes","held_out:external_validation_only","Third-party Ampere self-report with no uncertainty; age range differs from the 18-64 baseline."
"ofcom_male_gamer_weekly_play_mean","gamer_reported_weekly_play","VALIDATION","QUANTIFIED","United Kingdom","male gamers aged 16-64","2024-Q2","male gamers","484","minutes_per_week","","","ofcom_online_nation_2024","online-nation-2024-report.pdf","page 67; Ampere Games Consumer Q2 2024","convert 8 hours 4 minutes to minutes","held_out:external_validation_only","Third-party Ampere self-report with no uncertainty; gender is not the ONS sex variable."
"ofcom_female_gamer_weekly_play_mean","gamer_reported_weekly_play","VALIDATION","QUANTIFIED","United Kingdom","female gamers aged 16-64","2024-Q2","female gamers","351","minutes_per_week","","","ofcom_online_nation_2024","online-nation-2024-report.pdf","page 67; Ampere Games Consumer Q2 2024","convert 5 hours 51 minutes to minutes","held_out:external_validation_only","Third-party Ampere self-report with no uncertainty; gender is not the ONS sex variable."
"ecb_gbp_per_eur_2024","nominal_exchange_rate","CALIBRATION","QUANTIFIED","Euro area reference","annual average market reference rate","2024","GBP per EUR","0.8466166015625","gbp_per_eur","","","ecb_eur_fx_2024","calibration_evidence_by_point/06_monetary_fx_ppp/ecb_eur_fx_2024_existing_bundle/artifacts/ecb_exr_annual_2024.csv","EXR.A.GBP.EUR.SP00.A","retain ECB quote orientation","already_bound:inputs/monetary/ecb-eur-fx-2024-v1","GBP to EUR requires inversion; nominal FX is not PPP."
"cpih_overall_nov_2024","cpih_overall_index","DIAGNOSTIC","QUANTIFIED","United Kingdom","consumer prices including owner occupiers housing costs","2024-11","overall index","134.6","index_2015_100","","","ons_cpih_v53","calibration_evidence_by_point/06_monetary_fx_ppp/ons_cpih_version_53_dec_2024.csv","CP00 Overall Index; Nov-24","retain published index","not_connected:temporal_price_transform","Version 53 stops at November 2024 and is not a complete 2024 annual average."
"cpih_overall_nov_2023","cpih_overall_index","DIAGNOSTIC","QUANTIFIED","United Kingdom","consumer prices including owner occupiers housing costs","2023-11","overall index","130.0","index_2015_100","","","ons_cpih_v53","calibration_evidence_by_point/06_monetary_fx_ppp/ons_cpih_version_53_dec_2024.csv","CP00 Overall Index; Nov-23","retain published index","not_connected:temporal_price_transform","This is a comparison month, not a full annual average."
"cpih_november_year_change","cpih_price_change","DIAGNOSTIC","QUANTIFIED","United Kingdom","consumer prices including owner occupiers housing costs","2023-11/2024-11","overall index","3.5384615385","percent","","","ons_cpih_v53","calibration_evidence_by_point/06_monetary_fx_ppp/ons_cpih_version_53_dec_2024.csv","CP00 Overall Index; Nov-23 and Nov-24","(134.6 / 130.0 - 1) * 100","not_connected:temporal_price_transform","No uncertainty is supplied and this is a November-to-November change."
